Date:  23:24; lundi; février 21; 2022
Nom du modèle: FEA_Mirror3Ra_WithCone
Nom de l'étude: M3Ra_El00Pa00ct_Bonded(-Défaut-)
Type de tracé: Déplacement statique DispZ
Type de résultat: UZ 

        
Valeur	Unité
Somme	1 008.785828	mm
Moyenne	0.060222	mm
Max	0.349747	mm
Min	-0.150740	mm
Moyenne quadratique	0.134747	mm

Noeud	Valeur	X_mm	Y_mm	Z_mm	Composants
143196	0.175853	156.25000000	1 619.92687988	129.50906372	Mirror3Ra_Left-1
143197	0.053607	156.25000000	-49.01063156	0.96733344	Mirror3Ra_Left-1
143198	0.066896	156.25000000	298.32202148	7.88753271	Mirror3Ra_Left-1
143199	0.032917	1 718.75000000	-173.94020081	157.54850769	Mirror3Ra_Left-1
143200	0.010049	1 406.25000000	-521.81579590	114.62933350	Mirror3Ra_Left-1
143201	-0.014982	1 718.75000000	-869.68981934	189.16682434	Mirror3Ra_Left-1
143202	-0.040875	1 406.25000000	-1 217.56518555	168.18205261	Mirror3Ra_Left-1
143203	0.036877	1 093.75000000	-173.94142151	63.57719803	Mirror3Ra_Left-1
143204	0.021987	781.25000000	-521.81671143	40.69622040	Mirror3Ra_Left-1
143205	-0.097702	781.25000000	-1 913.31494141	192.40621948	Mirror3Ra_Left-1
143206	-0.071070	1 093.75000000	-1 565.44018555	168.98359680	Mirror3Ra_Left-1
143207	-0.009943	1 093.75000000	-869.69110107	92.57034302	Mirror3Ra_Left-1
143208	-0.035024	781.25000000	-1 217.56616211	92.00933075	Mirror3Ra_Left-1
143209	0.181768	1 093.75000000	1 565.43530273	181.04449463	Mirror3Ra_Left-1
143210	0.222568	781.25000000	1 913.31066895	205.89639282	Mirror3Ra_Left-1
143211	0.106813	1 093.75000000	869.68414307	102.70392609	Mirror3Ra_Left-1
143212	0.132533	781.25000000	1 217.55920410	106.78446198	Mirror3Ra_Left-1
143213	0.077982	781.25000000	521.80847168	48.47241592	Mirror3Ra_Left-1
143214	0.058125	1 093.75000000	173.93362427	65.89390564	Mirror3Ra_Left-1
143215	0.149903	1 406.25000000	1 217.56018066	176.78407288	Mirror3Ra_Left-1
143216	0.124361	1 718.75000000	869.68536377	193.63346863	Mirror3Ra_Left-1
143217	0.085676	1 406.25000000	521.80932617	119.79374695	Mirror3Ra_Left-1
143218	0.061242	1 718.75000000	173.93484497	158.74052429	Mirror3Ra_Left-1
143219	0.081096	78.12500000	601.54846191	21.65862274	Mirror3Ra_Left-1
143220	0.008575	1 718.75000000	-521.81512451	167.57328796	Mirror3Ra_Left-1
143221	0.033018	1 406.25000000	-173.94088745	105.29965210	Mirror3Ra_Left-1
143222	-0.040280	1 718.75000000	-1 217.56445313	222.73950195	Mirror3Ra_Left-1
143223	-0.013718	1 406.25000000	-869.69055176	135.45495605	Mirror3Ra_Left-1
143224	0.014550	1 093.75000000	-521.81628418	72.35491943	Mirror3Ra_Left-1
143225	0.041977	781.25000000	-173.94183350	32.33005524	Mirror3Ra_Left-1
143226	-0.069028	781.25000000	-1 565.44055176	135.81646729	Mirror3Ra_Left-1
143227	-0.099828	1 093.75000000	-1 913.31445313	226.17706299	Mirror3Ra_Left-1
143228	-0.039342	1 093.75000000	-1 217.56567383	124.62511444	Mirror3Ra_Left-1
143229	-0.003176	781.25000000	-869.69146729	60.45639038	Mirror3Ra_Left-1
